用户选择的翻译引擎,目标语言,输入文本,翻译结果
有道,汉语,翻译对比平台,Translation comparison Platform
有道,汉语,翻译对比平台,Translation comparison Platform
有道,汉语,翻译对比平台,Translation comparison Platform
有道,汉语,翻译对比平台,Translation comparison Platform
有道,汉语,翻译对比平台,Translation comparison Platform
有道,汉语,翻译对比平台,Translation comparison Platform
百度,汉语,翻译对比平台,翻译对比平台
谷歌,汉语,翻译对比平台,翻译对比平台
谷歌,汉语,翻译对比平台,翻译对比平台
百度,汉语,小明去深圳参加了一场腾讯会议,小明去深圳参加了一场腾讯会议
谷歌,英语,谷歌公司发布了一项新的成功,Google has released a new success
谷歌,英语,阿里巴巴正在大规模裁员,Alibaba is layoff in large-scale
谷歌,英语,阿里巴巴正在大规模裁员,Alibaba is layoff in large-scale
谷歌,英语,阿里巴巴正在大规模裁员,Alibaba is layoff in large-scale
谷歌,英语,阿里巴巴正在大规模裁员,Alibaba is layoff in large-scale
谷歌,英语,阿里巴巴正在大规模裁员,Alibaba is layoff in large-scale
谷歌,英语,阿里巴巴正在大规模裁员,Alibaba is layoff in large-scale
谷歌,英语,阿里巴巴正在大规模裁员,Alibaba is layoff in large-scale
谷歌,英语,小明上学去了,Xiaoming goes to school.
有道,英语,4月15日0—24时，上海新增本土新冠肺炎确诊病例3590例和无症状感染者19923例，其中922例确诊病例为此前无症状感染者转归，2311例确诊病例和19428例无症状感染者在隔离管控中发现，其余在相关风险人群排查中发现。北京政府报道,"From 0:00 to 24:00 on April 15, there were 3,590 newly confirmed COVID-19 cases and 19,923 asymptomatic COVID-19 cases in Shanghai, among which 922 confirmed COVID-19 cases were turned over from previously asymptomatic COVID-19 cases, 2,311 confirmed COVID-19 cases and 19,428 asymptomatic COVID-19 cases were found in isolation and control, and the rest were found in related risk groups. Beijing government reports"
有道,英语,4月15日0—24时，上海新增本土新冠肺炎确诊病例3590例和无症状感染者19923例，其中922例确诊病例为此前无症状感染者转归，2311例确诊病例和19428例无症状感染者在隔离管控中发现，其余在相关风险人群排查中发现。北京政府报道,"From 0:00 to 24:00 on April 15, there were 3,590 newly confirmed COVID-19 cases and 19,923 asymptomatic COVID-19 cases in Shanghai, among which 922 confirmed COVID-19 cases were turned over from previously asymptomatic COVID-19 cases, 2,311 confirmed COVID-19 cases and 19,428 asymptomatic COVID-19 cases were found in isolation and control, and the rest were found in related risk groups. Beijing government reports"
有道,英语,4月15日0—24时，上海新增本土新冠肺炎确诊病例3590例和无症状感染者19923例，其中922例确诊病例为此前无症状感染者转归，2311例确诊病例和19428例无症状感染者在隔离管控中发现，其余在相关风险人群排查中发现。北京政府报道,"From 0:00 to 24:00 on April 15, there were 3,590 newly confirmed COVID-19 cases and 19,923 asymptomatic COVID-19 cases in Shanghai, among which 922 confirmed COVID-19 cases were turned over from previously asymptomatic COVID-19 cases, 2,311 confirmed COVID-19 cases and 19,428 asymptomatic COVID-19 cases were found in isolation and control, and the rest were found in related risk groups. Beijing government reports"
有道,英语,4月15日0—24时，上海新增本土新冠肺炎确诊病例3590例和无症状感染者19923例，其中922例确诊病例为此前无症状感染者转归，2311例确诊病例和19428例无症状感染者在隔离管控中发现，其余在相关风险人群排查中发现。北京政府报道,"From 0:00 to 24:00 on April 15, there were 3,590 newly confirmed COVID-19 cases and 19,923 asymptomatic COVID-19 cases in Shanghai, among which 922 confirmed COVID-19 cases were turned over from previously asymptomatic COVID-19 cases, 2,311 confirmed COVID-19 cases and 19,428 asymptomatic COVID-19 cases were found in isolation and control, and the rest were found in related risk groups. Beijing government reports"
有道,英语,4月15日0—24时，上海新增本土新冠肺炎确诊病例3590例和无症状感染者19923例，其中922例确诊病例为此前无症状感染者转归，2311例确诊病例和19428例无症状感染者在隔离管控中发现，其余在相关风险人群排查中发现。北京政府报道,"From 0:00 to 24:00 on April 15, there were 3,590 newly confirmed COVID-19 cases and 19,923 asymptomatic COVID-19 cases in Shanghai, among which 922 confirmed COVID-19 cases were turned over from previously asymptomatic COVID-19 cases, 2,311 confirmed COVID-19 cases and 19,428 asymptomatic COVID-19 cases were found in isolation and control, and the rest were found in related risk groups. Beijing government reports"
有道,英语,4月15日0—24时，上海新增本土新冠肺炎确诊病例3590例和无症状感染者19923例，其中922例确诊病例为此前无症状感染者转归，2311例确诊病例和19428例无症状感染者在隔离管控中发现，其余在相关风险人群排查中发现。北京政府报道,"From 0:00 to 24:00 on April 15, there were 3,590 newly confirmed COVID-19 cases and 19,923 asymptomatic COVID-19 cases in Shanghai, among which 922 confirmed COVID-19 cases were turned over from previously asymptomatic COVID-19 cases, 2,311 confirmed COVID-19 cases and 19,428 asymptomatic COVID-19 cases were found in isolation and control, and the rest were found in related risk groups. Beijing government reports"
有道,英语,4月15日0—24时，上海新增本土新冠肺炎确诊病例3590例和无症状感染者19923例，其中922例确诊病例为此前无症状感染者转归，2311例确诊病例和19428例无症状感染者在隔离管控中发现，其余在相关风险人群排查中发现。北京政府报道,"From 0:00 to 24:00 on April 15, there were 3,590 newly confirmed COVID-19 cases and 19,923 asymptomatic COVID-19 cases in Shanghai, among which 922 confirmed COVID-19 cases were turned over from previously asymptomatic COVID-19 cases, 2,311 confirmed COVID-19 cases and 19,428 asymptomatic COVID-19 cases were found in isolation and control, and the rest were found in related risk groups. Beijing government reports"
有道,英语,4月15日0—24时，上海新增本土新冠肺炎确诊病例3590例和无症状感染者19923例，其中922例确诊病例为此前无症状感染者转归，2311例确诊病例和19428例无症状感染者在隔离管控中发现，其余在相关风险人群排查中发现。北京政府报道,"From 0:00 to 24:00 on April 15, there were 3,590 newly confirmed COVID-19 cases and 19,923 asymptomatic COVID-19 cases in Shanghai, among which 922 confirmed COVID-19 cases were turned over from previously asymptomatic COVID-19 cases, 2,311 confirmed COVID-19 cases and 19,428 asymptomatic COVID-19 cases were found in isolation and control, and the rest were found in related risk groups. Beijing government reports"
谷歌,英语,翟志刚出舱后接受总台记者采访，表示感觉非常良好。欢迎翟志刚王亚平叶光富回地球,"Qi Zhi received an interview with the reporter after the charter, said that it feels very good.Welcome to Zhi Zigang Wang Yaping Ye Guangfu back to the earth"
谷歌,英语,翟志刚出舱后接受总台记者采访，表示感觉非常良好。欢迎翟志刚王亚平叶光富回地球,"Qi Zhi received an interview with the reporter after the charter, said that it feels very good.Welcome to Zhi Zigang Wang Yaping Ye Guangfu back to the earth"
谷歌,英语,翟志刚出舱后接受总台记者采访，表示感觉非常良好。欢迎翟志刚王亚平叶光富回地球,"Qi Zhi received an interview with the reporter after the charter, said that it feels very good.Welcome to Zhi Zigang Wang Yaping Ye Guangfu back to the earth"
谷歌,英语,翟志刚出舱后接受总台记者采访，表示感觉非常良好。欢迎翟志刚王亚平叶光富回地球,"Qi Zhi received an interview with the reporter after the charter, said that it feels very good.Welcome to Zhi Zigang Wang Yaping Ye Guangfu back to the earth"
谷歌,英语,翟志刚出舱后接受总台记者采访，表示感觉非常良好。欢迎翟志刚王亚平叶光富回地球,"Qi Zhi received an interview with the reporter after the charter, said that it feels very good.Welcome to Zhi Zigang Wang Yaping Ye Guangfu back to the earth"
谷歌,英语,翟志刚出舱后接受总台记者采访，表示感觉非常良好。欢迎翟志刚王亚平叶光富回地球,"Qi Zhi received an interview with the reporter after the charter, said that it feels very good.Welcome to Zhi Zigang Wang Yaping Ye Guangfu back to the earth"
谷歌,英语,翟志刚出舱后接受总台记者采访，表示感觉非常良好。欢迎翟志刚王亚平叶光富回地球,"Qi Zhi received an interview with the reporter after the charter, said that it feels very good.Welcome to Zhi Zigang Wang Yaping Ye Guangfu back to the earth"
谷歌,英语,翟志刚出舱后接受总台记者采访，表示感觉非常良好。欢迎翟志刚王亚平叶光富回地球,"Qi Zhi received an interview with the reporter after the charter, said that it feels very good.Welcome to Zhi Zigang Wang Yaping Ye Guangfu back to the earth"
谷歌,英语,翟志刚出舱后接受总台记者采访，表示感觉非常良好。欢迎翟志刚王亚平叶光富回地球,"Qi Zhi received an interview with the reporter after the charter, said that it feels very good.Welcome to Zhi Zigang Wang Yaping Ye Guangfu back to the earth"
谷歌,英语,翟志刚出舱后接受总台记者采访，表示感觉非常良好。欢迎翟志刚王亚平叶光富回地球,"Qi Zhi received an interview with the reporter after the charter, said that it feels very good.Welcome to Zhi Zigang Wang Yaping Ye Guangfu back to the earth"
谷歌,英语,翟志刚出舱后接受总台记者采访，表示感觉非常良好。欢迎翟志刚王亚平叶光富回地球,"Qi Zhi received an interview with the reporter after the charter, said that it feels very good.Welcome to Zhi Zigang Wang Yaping Ye Guangfu back to the earth"
谷歌,英语,翟志刚出舱后接受总台记者采访，表示感觉非常良好。欢迎翟志刚王亚平叶光富回地球,"Qi Zhi received an interview with the reporter after the charter, said that it feels very good.Welcome to Zhi Zigang Wang Yaping Ye Guangfu back to the earth"
百度,英语,澎湃新闻此前报道，2021年12月，佛山中院一审审理认为，在陈某梅不知情的情况下，彭某使用七氟烷使陈某梅陷入不能反抗的昏迷状态，剥夺陈某梅的性自主权，造成陈某梅死亡的结果，属于强奸罪的结果加重犯。彭某的犯罪手段卑劣，并造成严重后果，社会影响极坏，罪行极其严重，依法应予严惩。2021年12月3日，佛山中院对此案作出一审判决：彭某犯强奸罪，判处无期徒刑。,"Surging news previously reported that in December 2021, the first instance trial of Foshan intermediate people's court held that without Chen's knowledge, Peng's use of sevoflurane made Chen fall into an irresistible coma, deprived Chen's sexual autonomy, resulting in Chen's death, which belongs to the aggravated crime of rape. Peng's criminal means are despicable and have caused serious consequences. His social impact is very bad and his crime is extremely serious. He should be severely punished according to law. On December 3, 2021, Foshan intermediate people's court made a first instance judgment on the case: Peng committed the crime of rape and was sentenced to life imprisonment."
百度,英语,澎湃新闻此前报道，2021年12月，佛山中院一审审理认为，在陈某梅不知情的情况下，彭某使用七氟烷使陈某梅陷入不能反抗的昏迷状态，剥夺陈某梅的性自主权，造成陈某梅死亡的结果，属于强奸罪的结果加重犯。彭某的犯罪手段卑劣，并造成严重后果，社会影响极坏，罪行极其严重，依法应予严惩。2021年12月3日，佛山中院对此案作出一审判决：彭某犯强奸罪，判处无期徒刑。,"Surging news previously reported that in December 2021, the first instance trial of Foshan intermediate people's court held that without Chen's knowledge, Peng's use of sevoflurane made Chen fall into an irresistible coma, deprived Chen's sexual autonomy, resulting in Chen's death, which belongs to the aggravated crime of rape. Peng's criminal means are despicable and have caused serious consequences. His social impact is very bad and his crime is extremely serious. He should be severely punished according to law. On December 3, 2021, Foshan intermediate people's court made a first instance judgment on the case: Peng committed the crime of rape and was sentenced to life imprisonment."
百度,韩语,澎湃新闻此前报道，2021年12月，佛山中院一审审理认为，在陈某梅不知情的情况下，彭某使用七氟烷使陈某梅陷入不能反抗的昏迷状态，剥夺陈某梅的性自主权，造成陈某梅死亡的结果，属于强奸罪的结果加重犯。彭某的犯罪手段卑劣，并造成严重后果，社会影响极坏，罪行极其严重，依法应予严惩。2021年12月3日，佛山中院对此案作出一审判决：彭某犯强奸罪，判处无期徒刑。,펑파이(澎湃)는 앞서 2021년 12월 포산중원 1심 심리에서 천(陳)모메이가 알지 못하는 상황에서 펑(彭)씨가 칠불화탄을 사용해 천(陳)모메이를 반항할 수 없는 혼수상태에 빠뜨리고 천(陳)모메이의 성적 자율권을 박탈해 천(陳)모메이를 숨지게 한 결과는 강간죄의 결과 가중범에 해당한다고 판단했다고 보도했다.팽 모 씨의 범죄 수단은 비열하고 심각한 결과를 초래했다. 사회의 영향은 매우 나쁘고 죄행은 매우 심각하므로 법에 따라 엄벌에 처해야 한다.2021년 12월 3일에 불산중원은 이 사건에 대해 1심 판결을 내렸다. 팽씨는 강간죄를 저질렀고 무기징역을 선고했다.
百度,日语,澎湃新闻此前报道，2021年12月，佛山中院一审审理认为，在陈某梅不知情的情况下，彭某使用七氟烷使陈某梅陷入不能反抗的昏迷状态，剥夺陈某梅的性自主权，造成陈某梅死亡的结果，属于强奸罪的结果加重犯。彭某的犯罪手段卑劣，并造成严重后果，社会影响极坏，罪行极其严重，依法应予严惩。2021年12月3日，佛山中院对此案作出一审判决：彭某犯强奸罪，判处无期徒刑。,澎湃ニュースはこれまで、2021年12月、仏山中院の一審審理で、陳某梅が知らないうちに、彭某が七フッ化アルカンを使って陳某梅を反抗できない昏睡状態に陥れ、陳某梅の性自主権を剥奪し、陳某梅が死亡した結果、強姦罪の結果に重犯が加わったと報じた。彭某の犯罪手段は卑劣で、そして深刻な結果をもたらし、社会の影響は極めて悪く、犯罪は極めて深刻で、法に基づいて厳罰に処すべきである。2021年12月3日、仏山中院はこの事件に対して1審の判決を下した:彭某は強姦罪を犯し、無期懲役を言い渡した。
谷歌,日语,广东政府机构作出的二审刑事裁定书显示，法院机构认为一审判决认定彭某犯强奸罪的事实清楚，证据确实、充分。辩护人认为被害人死亡存在“多因一果”的意见没有证据支持，不予采纳；彭某强奸造成陈某梅死亡的结果，依法不能认定为犯罪未遂；彭某及辩护人请求改判较轻刑罚的上诉理由和辩护意见不能成立，不予采纳。北京政府报道,広東省政府機関によって行われた第二の制度的裁定は、裁判所機関がPengの暴力的犯罪が明確であり、証拠が確かにそうであると考えていた。擁護者は、被害者の死には証拠の支援がないと考えています、採用されていません; Peng RapeはChenmouの死を引き起こし、法律によると犯罪として決定することはできません。鵬と擁護者は軽い罰の魅力を求める理由と防衛の意見を求めることはできません確立され、採用されません。北京政府レポート
有道,日语,广东政府机构作出的二审刑事裁定书显示，法院机构认为一审判决认定彭某犯强奸罪的事实清楚，证据确实、充分。辩护人认为被害人死亡存在“多因一果”的意见没有证据支持，不予采纳；彭某强奸造成陈某梅死亡的结果，依法不能认定为犯罪未遂；彭某及辩护人请求改判较轻刑罚的上诉理由和辩护意见不能成立，不予采纳。北京政府报道,広東省政府機関が作成した二審刑事裁決書によると、裁判所機関は一審判決が彭氏の強姦罪を認めた事実は明白で、証拠は確かで十分だと判断した。弁護人は、被害者の死亡に「多因一果」があるという意見は証拠がないとして受け入れなかった。彭氏が強姦して陳氏梅氏を死亡させた結果は、法律に基づいて犯罪未遂とは認められない。彭氏と弁護人はより軽い刑を求刑した控訴理由と弁護意見は成立せず、受け入れなかった。北京政府報道
有道,英语,广东政府机构作出的二审刑事裁定书显示，法院机构认为一审判决认定彭某犯强奸罪的事实清楚，证据确实、充分。辩护人认为被害人死亡存在“多因一果”的意见没有证据支持，不予采纳；彭某强奸造成陈某梅死亡的结果，依法不能认定为犯罪未遂；彭某及辩护人请求改判较轻刑罚的上诉理由和辩护意见不能成立，不予采纳。北京政府报道,"According to the criminal ruling of the second instance made by the Guangdong government agency, the court agency believes that the facts of peng's rape conviction in the first instance are clear and the evidence is solid and sufficient. The defender's opinion that the victim's death was caused by ""multiple causes and one effect"" was not supported by evidence and was not accepted. Peng mou rape caused the death of Chen Mou Mei results, according to law can not be identified as attempted crime; Peng mou and the defense request for commutation of the lighter penalty of the appeal grounds and defense opinion can not be established, not to adopt. Beijing government reports"
有道,韩语,广东政府机构作出的二审刑事裁定书显示，法院机构认为一审判决认定彭某犯强奸罪的事实清楚，证据确实、充分。辩护人认为被害人死亡存在“多因一果”的意见没有证据支持，不予采纳；彭某强奸造成陈某梅死亡的结果，依法不能认定为犯罪未遂；彭某及辩护人请求改判较轻刑罚的上诉理由和辩护意见不能成立，不予采纳。北京政府报道,"광둥 (廣東) 성 정부기관에서 내린 2 심 형사재정서에 따르면, 법원 기관은 1 심 판결이 펑 (鵬) 씨가 강간죄를 범한 사실을 인정한 것은 명백하고 증거가 확실하며 충분하다고 인정했다.피해자의 사망에'다인일과'가 존재한다는 변호인의 의견은 증거가 없어 받아들이지 않는다.팽모의 강간으로 진모매가 사망한 결과를 초래한것은 법에 의해 범죄의 미수로 인정할수 없다.비교적 경한 형벌로 판결을 변경해줄것을 요구한 팽모 및 변호인의 상소리유와 변호의견은 성립되지 않으므로 채납하지 않는다.베이징정부보도"
